gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
1004,20130531,2012,INDL,C,D,STD,AIR,AAR CORP,USD,2136.9,75.3,11.9,389,1217.4,55,542.4,2167.1,918.6,919.5,,A,2010
1045,20131231,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,42278,1140,0,13806,45009,-1834,-13328,26712,-2731,-2731,,A,2030
1050,20131231,2013,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,348.536,22.661,4.337,59.333,178.13,6.557,10.939,197.317,170.406,170.406,,A,2020
1062,20131130,2013,INDL,C,D,STD,ASA,ASA GOLD AND PRECIOUS METALS,USD,252.142,3.031,3.472,,1.795,-212.673,229.684,4.481,250.347,250.347,,A,4020
1072,20130331,2012,INDL,C,D,STD,AVX,AVX CORP,USD,2601.995,486.724,50.758,330.877,629.065,-64.312,1718.739,1414.4,1972.93,1972.93,,A,4520
1075,20131231,2013,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13508.686,9.526,244.903,1618.644,9168.226,406.074,1707.22,3454.628,4194.47,4340.46,,A,5510
1076,20131231,2013,INDL,C,D,STD,AAN,AARON'S INC,USD,1827.176,231.091,5.479,,687.213,120.666,1202.155,2234.631,1139.963,1139.963,,A,2550
1078,20131231,2013,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,42953,3475,1002,9507,17686,2576,19967,21848,25171,25267,,A,3510
1094,20130630,2013,INDL,C,D,STD,ACET,ACETO CORP,USD,323.43,33.231,6.057,89.907,128.79,22.328,121.517,499.69,194.64,194.64,,A,2010
1096,20131231,2013,INDL,C,D,STD,MRCBF,MORGUARD CORP,CAD,5452.995,129.361,7.612,739.796,2905.556,286.392,2217.734,516.882,2329.972,2345.51,,A,4040
1104,20131231,2013,INDL,C,D,STD,ACU,ACME UNITED CORP,USD,68.079,11.644,0.986,9.876,33.074,4.003,29.414,89.577,35.005,35.005,,A,2020
1117,20131231,2013,INDL,C,D,STD,RWC,RELM WIRELESS CORP,USD,34.023,7.945,0,2.456,2.603,1.142,-1.405,27.023,31.42,31.42,,A,4520
1119,20131231,2013,INDL,C,D,STD,ADX,ADAMS EXPRESS,USD,,,,,,,,,,,,A,
1121,20131231,2013,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,448.082,60.733,2.783,272.169,293.397,21.61,142.57,3945.969,154.685,154.685,,A,1010
1161,20131231,2013,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4337,869,0,1618,3793,-83,-6245,5299,544,544,,A,4530
1166,20131231,2013,INDL,C,D,STD,ASMI,ASM INTERNATIONAL NV,USD,2137.466,430.507,,139.788,143.3,1412.75,,843.656,1994.166,1994.166,,A,4530
1173,20130131,2012,INDL,C,D,STD,AIM,AEROSONIC CORP,USD,23.324,0,0,6.646,11.284,2.522,7.008,31.021,12.04,12.04,,I,2010
1177,20131231,2013,INDL,C,D,STD,AET,AETNA INC,USD,49871.8,1412.3,294.6,12602.9,35793.6,1913.6,9643.3,47284.9,14025.5,14078.2,,A,3510
